date,game_num,game_type,player,net
2026-04-13,1,PLO,Hiro,3020.75
2026-04-13,1,PLO,Rach,1830.92
2026-04-13,1,PLO,Andrew,1389.52
2026-04-13,1,PLO,Ena,885.02
2026-04-13,1,PLO,Neal,-250
2026-04-13,1,PLO,GB,-400
2026-04-13,1,PLO,Shiv,-500
2026-04-13,1,PLO,Egg,-1200
2026-04-13,1,PLO,Lucki,-1776.21
2026-04-13,1,PLO,SamC,-3000
2026-04-13,2,PLO,Rach,378.06
2026-04-13,2,PLO,Andrew,341.77
2026-04-13,2,PLO,Young,256.85
2026-04-13,2,PLO,Jesse,249.49
2026-04-13,2,PLO,GB,225.4
2026-04-13,2,PLO,Elaine,197.58
2026-04-13,2,PLO,JJ,114.62
2026-04-13,2,PLO,Ww,63.18
2026-04-13,2,PLO,Ena,-100
2026-04-13,2,PLO,Sanjay,-200
2026-04-13,2,PLO,Uz,-200
2026-04-13,2,PLO,bigslickenergy,-326.95
2026-04-13,2,PLO,Tarek,-1000
2026-04-14,3,NL,YN,1005.6
2026-04-14,3,NL,Hiro,899.68
2026-04-14,3,NL,Hu,675.02
2026-04-14,3,NL,Ww,446.83
2026-04-14,3,NL,Rach,384.5
2026-04-14,3,NL,Draco,373.69
2026-04-14,3,NL,Egg,218.73
2026-04-14,3,NL,Young,186.29
2026-04-14,3,NL,AHH,85.08
2026-04-14,3,NL,Will X,46.18
2026-04-14,3,NL,Jamie,32.2
2026-04-14,3,NL,JZ,-3.4
2026-04-14,3,NL,Arjun,-5.61
2026-04-14,3,NL,Zheng,-20.27
2026-04-14,3,NL,Saswoot,-67
2026-04-14,3,NL,Shaun,-108.54
2026-04-14,3,NL,Sanjay,-154.82
2026-04-14,3,NL,Uz,-170
2026-04-14,3,NL,Shiv,-180.7
2026-04-14,3,NL,Albert,-200
2026-04-14,3,NL,Ena,-200.69
2026-04-14,3,NL,Tarek,-250
2026-04-14,3,NL,JH,-300
2026-04-14,3,NL,JL,-447.26
2026-04-14,3,NL,GB,-499.25
2026-04-14,3,NL,Mc,-1746.26
2026-04-14,4,PLO,Andrew,1241.22
2026-04-14,4,PLO,Hiro,733.5
2026-04-14,4,PLO,Ena,517.9
2026-04-14,4,PLO,Tarek,201.75
2026-04-14,4,PLO,SamC,160.5
2026-04-14,4,PLO,GB,108.5
2026-04-14,4,PLO,YN,89.5
